"","Sample_ID","Sample_date.x","Sample_site.x","Genus_sp_lifestage","Life_stage","Number_counted","Zoop_density","Zoop_biomass","Zoop_len_avg","Order1","Project","Subsampled_vol_mL","Diluted_vol_mL","Sample_date.y","Sample_site.y","Meter_1","Meter_2","Meter_B1","Meter_B2","Vol_sampled_L","Vol_sampled_L2","V1toV2ratio","V1equalsV2","Zoop_density1a","Zoop_density2","blah"
"1","20040603-37-890","2004-06-03","37-890","A_vernalis_wo_eggs","Older",10,0.616658030028368,1.96893052791479,0.7217375,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.774603138536997,0.774603138536997,0.157945108508628
"2","20040603-37-890","2004-06-03","37-890","A_vernalis_wo_eggs","Older",10,0.616658030028368,1.96893052791479,0.7217375,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.774603138536997,0.774603138536997,0.157945108508628
"3","20040603-37-890","2004-06-03","37-890","Calanoid_nauplii","Nauplii",23,1.41831346906525,0.382349387118038,0.241333333333333,"Calanoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",1.78158721863509,1.78158721863509,0.363273749569845
"4","20040603-37-890","2004-06-03","37-890","Cyclopoid_nauplii","Nauplii",18,1.10998445405106,0.256309744285457,0.22625,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",1.39428564936659,1.39428564936659,0.284301195315531
"5","20040603-37-890","2004-06-03","37-890","Cyclopoida_unclass","Younger",15,0.924987045042552,0.833762465795384,0.382685714285714,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",1.16190470780549,1.16190470780549,0.236917662762942
"6","20040603-37-890","2004-06-03","37-890","D_retrocurva_eggs","Egg",113,6.96823573932056,4.10220037973802,NA,"Cladocera","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",8.75301546546806,8.75301546546806,1.7847797261475
"7","20040603-37-890","2004-06-03","37-890","D_retrocurva_w_eggs","Older",24,1.47997927206808,16.6679761142263,1.48559230769231,"Cladocera","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",1.85904753248879,1.85904753248879,0.379068260420708
"8","20040603-37-890","2004-06-03","37-890","D_retrocurva_wo_eggs","Older",113,6.96823573932056,17.7405643569829,0.815892307692308,"Cladocera","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",8.75301546546806,8.75301546546806,1.7847797261475
"9","20040603-37-890","2004-06-03","37-890","D_thomasi_eggs","Egg",14,0.863321242039716,0.145037968662672,NA,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",1.0844443939518,1.0844443939518,0.22112315191208
"10","20040603-37-890","2004-06-03","37-890","D_thomasi_wo_eggs","Older",7,0.431660621019858,1.32733301606005,0.72038,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.542222196975898,0.542222196975898,0.11056157595604
"11","20040603-37-890","2004-06-03","37-890","D_thomasi_wo_eggs","Older",7,0.431660621019858,1.32733301606005,0.72038,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.542222196975898,0.542222196975898,0.11056157595604
"12","20040603-37-890","2004-06-03","37-890","Diaphanosoma_eggs","Egg",9,0.554992227025532,0.371844792107106,NA,"Cladocera","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.697142824683297,0.697142824683297,0.142150597657765
"13","20040603-37-890","2004-06-03","37-890","Diaphanosoma_wo_eggs","Older",23,1.41831346906525,4.05484695452307,0.576614285714286,"Cladocera","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",1.78158721863509,1.78158721863509,0.363273749569845
"14","20040603-37-890","2004-06-03","37-890","E_carolleeae_eggs","Egg",176,10.8531813284993,1.25354244344167,NA,"Calanoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",13.6330152382511,13.6330152382511,2.77983390975186
"15","20040603-37-890","2004-06-03","37-890","E_carolleeae_wo_eggs","Older",30,1.8499740900851,6.95130984706001,0.780885714285714,"Calanoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",2.32380941561099,2.32380941561099,0.473835325525885
"16","20040603-37-890","2004-06-03","37-890","E_carolleeae_wo_eggs","Older",30,1.8499740900851,6.95130984706001,0.780885714285714,"Calanoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",2.32380941561099,2.32380941561099,0.473835325525885
"17","20040603-37-890","2004-06-03","37-890","E_carolleeae_wo_eggs","Younger",12,0.739989636034042,1.26668491886598,0.491285714285714,"Calanoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.929523766244396,0.929523766244396,0.189534130210354
"18","20040603-37-890","2004-06-03","37-890","E_carolleeae_wo_eggs","Younger",12,0.739989636034042,1.26668491886598,0.491285714285714,"Calanoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.929523766244396,0.929523766244396,0.189534130210354
"19","20040603-37-890","2004-06-03","37-890","Loose_Copepod_eggs","Egg",15,0.924987045042552,0.106281011475389,NA,"Copepoda spp.","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",1.16190470780549,1.16190470780549,0.236917662762942
"20","20040603-37-890","2004-06-03","37-890","M_edax_eggs","Egg",15,0.924987045042552,0.161872732882447,NA,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",1.16190470780549,1.16190470780549,0.236917662762942
"21","20040603-37-890","2004-06-03","37-890","M_edax_wo_eggs","Older",66,4.06994299818723,18.0163571066036,0.844666666666667,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",5.11238071434418,5.11238071434418,1.04243771615695
"22","20040603-37-890","2004-06-03","37-890","M_edax_wo_eggs","Older",66,4.06994299818723,18.0163571066036,0.844666666666667,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",5.11238071434418,5.11238071434418,1.04243771615695
"23","20040603-37-890","2004-06-03","37-890","M_edax_wo_eggs","Younger",7,0.431660621019858,0.345747925984254,0.47965,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.542222196975898,0.542222196975898,0.11056157595604
"24","20040603-37-890","2004-06-03","37-890","M_edax_wo_eggs","Younger",7,0.431660621019858,0.345747925984254,0.47965,"Cyclopoida","LEPAS",20,3000,2004-06-03,"37-890",4777,5144,NA,NA,1936.4755,1936.4755,1,"same",0.542222196975898,0.542222196975898,0.11056157595604
"25","20070829-1281_10m","2007-08-29","1281_10m","B_longirostris_eggs","Egg",33,1.52540140013359,0.77795471406813,NA,"Cladocera","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",2.68418272126511,2.68418272126511,1.15878132113152
"26","20070829-1281_10m","2007-08-29","1281_10m","B_longirostris_w_eggs","Older",16,0.739588557640528,1.01356268524877,0.31415,"Cladocera","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",1.30142192546187,1.30142192546187,0.561833367821345
"27","20070829-1281_10m","2007-08-29","1281_10m","B_longirostris_wo_eggs","Older",13,0.600915703082929,0.645018717742117,0.277114285714286,"Cladocera","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",1.05740531443777,1.05740531443777,0.456489611354843
"28","20070829-1281_10m","2007-08-29","1281_10m","Calanoid_nauplii","Nauplii",8,0.369794278820264,0.1181786903555,0.26718,"Calanoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",0.650710962730936,0.650710962730936,0.280916683910673
"29","20070829-1281_10m","2007-08-29","1281_10m","Calanoida_unclass","Younger",105,4.85354990951596,8.57387299537005,0.508478571428571,"Calanoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",8.54058138584354,8.54058138584354,3.68703147632758
"30","20070829-1281_10m","2007-08-29","1281_10m","Cyclopoid_nauplii","Nauplii",14,0.647139987935462,0.138084697260188,0.215025,"Cyclopoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",1.13874418477914,1.13874418477914,0.491604196843677
"31","20070829-1281_10m","2007-08-29","1281_10m","Cyclopoida_unclass","Younger",47,2.17254138806905,2.56204031911502,0.43737,"Cyclopoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",3.82292690604425,3.82292690604425,1.6503855179752
"32","20070829-1281_10m","2007-08-29","1281_10m","D_mendotae_wo_eggs","Older",7,0.323569993967731,1.53369917542774,0.7442,"Cladocera","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",0.569372092389569,0.569372092389569,0.245802098421838
"33","20070829-1281_10m","2007-08-29","1281_10m","Diaphanosoma_wo_eggs","Older",40,1.84897139410132,5.04376294001498,0.55144,"Cladocera","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",3.25355481365468,3.25355481365468,1.40458341955336
"34","20070829-1281_10m","2007-08-29","1281_10m","Dreissena_veligers","Veliger",43,1.98764424865892,0.924254575626397,0.2013,"Veneroida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",3.49757142467878,3.49757142467878,1.50992717601986
"35","20070829-1281_10m","2007-08-29","1281_10m","Kellicottia","Older",5,0.231121424262665,0.0143295283042852,NA,"Ploima","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",0.406694351706835,0.406694351706835,0.17557292744417
"36","20070829-1281_10m","2007-08-29","1281_10m","M_edax_wo_eggs","Older",8,0.369794278820264,0.900433495992729,0.69845,"Cyclopoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",0.650710962730936,0.650710962730936,0.280916683910673
"37","20070829-1281_10m","2007-08-29","1281_10m","M_edax_wo_eggs","Older",8,0.369794278820264,0.900433495992729,0.69845,"Cyclopoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",0.650710962730936,0.650710962730936,0.280916683910673
"38","20070829-1281_10m","2007-08-29","1281_10m","M_edax_wo_eggs","Younger",4,0.184897139410132,0.197165847411012,0.5307,"Cyclopoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",0.325355481365468,0.325355481365468,0.140458341955336
"39","20070829-1281_10m","2007-08-29","1281_10m","M_edax_wo_eggs","Younger",4,0.184897139410132,0.197165847411012,0.5307,"Cyclopoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",0.325355481365468,0.325355481365468,0.140458341955336
"40","20070829-1281_10m","2007-08-29","1281_10m","S_oregonensis_wo_eggs","Older",14,0.647139987935462,3.80587684460444,0.971933333333333,"Calanoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",1.13874418477914,1.13874418477914,0.491604196843677
"41","20070829-1281_10m","2007-08-29","1281_10m","S_oregonensis_wo_eggs","Older",14,0.647139987935462,3.80587684460444,0.971933333333333,"Calanoida","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",1.13874418477914,1.13874418477914,0.491604196843677
"42","20070829-1281_10m","2007-08-29","1281_10m","Unidentified_Rotifers","Older",12,0.554691418230396,0.243509532603144,NA,"Rotifera spp.","LEPAS",10,1000,2007-08-29,"1281_10m",469883,470293,NA,NA,1229.4245,1229.4245,1.75965665236052,"dif",0.976066444096404,0.976066444096404,0.421375025866009
"43","20090713-1279_20m","2009-07-13","1279_20m","A_vernalis_wo_eggs","Older",5,35.5349189803847,78.5279693371164,0.629,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.545851290021271,0.545851290021271,-34.9890676903635
"44","20090713-1279_20m","2009-07-13","1279_20m","A_vernalis_wo_eggs","Older",5,35.5349189803847,78.5279693371164,0.629,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.545851290021271,0.545851290021271,-34.9890676903635
"45","20090713-1279_20m","2009-07-13","1279_20m","A_vernalis_wo_eggs","Younger",1,7.10698379607695,9.35457385137028,0.518,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.109170258004254,0.109170258004254,-6.99781353807269
"46","20090713-1279_20m","2009-07-13","1279_20m","A_vernalis_wo_eggs","Younger",1,7.10698379607695,9.35457385137028,0.518,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.109170258004254,0.109170258004254,-6.99781353807269
"47","20090713-1279_20m","2009-07-13","1279_20m","B_coregoni_eggs","Egg",13,92.3907893490003,101.19563157396,NA,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",1.4192133540553,1.4192133540553,-90.971575994945
"48","20090713-1279_20m","2009-07-13","1279_20m","B_coregoni_w_eggs","Older",4,28.4279351843078,140.16633136173,0.52725,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.436681032017017,0.436681032017017,-27.9912541522908
"49","20090713-1279_20m","2009-07-13","1279_20m","B_coregoni_wo_eggs","Older",10,71.0698379607694,132.133562440344,0.3441,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",1.09170258004254,1.09170258004254,-69.9781353807269
"50","20090713-1279_20m","2009-07-13","1279_20m","B_longirostris_eggs","Egg",10,71.0698379607694,36.2456173599924,NA,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",1.09170258004254,1.09170258004254,-69.9781353807269
"51","20090713-1279_20m","2009-07-13","1279_20m","B_longirostris_w_eggs","Older",6,42.6419027764617,82.1285814029432,0.3663,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.655021548025525,0.655021548025525,-41.9868812284361
"52","20090713-1279_20m","2009-07-13","1279_20m","B_longirostris_wo_eggs","Older",44,312.707287027386,394.032536077383,0.297681818181818,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",4.80349135218718,4.80349135218718,-307.903795675198
"53","20090713-1279_20m","2009-07-13","1279_20m","C_pengoi_wo_eggs","Older",1,7.10698379607695,29.5183414536001,1.258,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.109170258004254,0.109170258004254,-6.99781353807269
"54","20090713-1279_20m","2009-07-13","1279_20m","Calanoid_nauplii","Nauplii",155,1101.58248839193,296.440934759454,0.2381875,"Calanoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",16.9213899906594,16.9213899906594,-1084.66109840127
"55","20090713-1279_20m","2009-07-13","1279_20m","Calanoida_unclass","Younger",112,795.982185160618,2567.36768028417,0.698375,"Calanoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",12.2270688964765,12.2270688964765,-783.755116264141
"56","20090713-1279_20m","2009-07-13","1279_20m","Cyclopoid_nauplii","Nauplii",49,348.24220600777,75.3036779285415,0.215833333333333,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",5.34934264220845,5.34934264220845,-342.892863365562
"57","20090713-1279_20m","2009-07-13","1279_20m","Cyclopoida_unclass","Younger",70,497.488865725386,525.991937583814,0.40885,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",7.64191806029779,7.64191806029779,-489.846947665088
"58","20090713-1279_20m","2009-07-13","1279_20m","D_mendotae_eggs","Egg",8,56.8558703686156,33.471050886004,NA,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.873362064034033,0.873362064034033,-55.9825083045815
"59","20090713-1279_20m","2009-07-13","1279_20m","D_mendotae_w_eggs","Older",3,21.3209513882308,426.45086286575,1.8685,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.327510774012762,0.327510774012762,-20.9934406142181
"60","20090713-1279_20m","2009-07-13","1279_20m","D_mendotae_wo_eggs","Older",2,14.2139675921539,112.927226774625,0.999,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.218340516008508,0.218340516008508,-13.9956270761454
"61","20090713-1279_20m","2009-07-13","1279_20m","D_retrocurva_eggs","Egg",11,78.1768217568464,46.0226949682555,NA,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",1.2008728380468,1.2008728380468,-76.9759489187996
"62","20090713-1279_20m","2009-07-13","1279_20m","D_retrocurva_w_eggs","Older",5,35.5349189803847,335.803680166426,1.3468,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.545851290021271,0.545851290021271,-34.9890676903635
"63","20090713-1279_20m","2009-07-13","1279_20m","D_retrocurva_wo_eggs","Older",49,348.24220600777,1194.82839279891,0.922533333333333,"Cladocera","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",5.34934264220845,5.34934264220845,-342.892863365562
"64","20090713-1279_20m","2009-07-13","1279_20m","D_thomasi_wo_eggs","Older",6,42.6419027764617,110.792399310479,0.662916666666667,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.655021548025525,0.655021548025525,-41.9868812284361
"65","20090713-1279_20m","2009-07-13","1279_20m","D_thomasi_wo_eggs","Older",6,42.6419027764617,110.792399310479,0.662916666666667,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.655021548025525,0.655021548025525,-41.9868812284361
"66","20090713-1279_20m","2009-07-13","1279_20m","D_thomasi_wo_eggs","Younger",7,49.7488865725386,73.8411775624255,0.4995,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.764191806029779,0.764191806029779,-48.9846947665088
"67","20090713-1279_20m","2009-07-13","1279_20m","D_thomasi_wo_eggs","Younger",7,49.7488865725386,73.8411775624255,0.4995,"Cyclopoida","LEPAS",16,6000,2009-07-13,"1279_20m",586428,586438,NA,NA,3435.0015,3435.0015,0.0153609831029186,"dif",0.764191806029779,0.764191806029779,-48.9846947665088
